City,State,Shape,Duration.in.seconds,Description,Date,Longitude,Latitute,Duration
Westfir,OR,Unknown,6,I Saw A Streak Of Light In The Sky.,11/28/2007,43.7575,-122.4952778,6
Las Vegas,NV,Light,600,Star-Like Light In The Daytime Sky Over Las Vegas.,11/28/2007,36.175,-115.1363889,600
Honolulu,HI,Light,10,My Family And I Were Driving Home From The North Shore Of Oahu Where We Spent The Day On The Beach I Had Gotten A New Digital Camera 7,3/31/2008,21.3069444,-157.8583333,10
Redondo Beach,CA,Circle,180,Ufo Sigting In Redondo Beach  On A Sunday Afternoon,11/28/2007,33.8491667,-118.3875,180
Barbourville,KY,Oval,18000,Very Slow Moving Fromwest To East Redbluewhite And Green Lights.  ((Nuforc Note:  Possibly Sirius.  Pd)),11/28/2007,36.8663889,-83.8888889,18000
Little Rock,AR,Changing,15,Green Lights Above West Little Rock. 500 Lights On Object0: Yes,11/28/2007,34.7463889,-92.2894444,15
Surprise,AZ,Other,1.5,Streak In Sky Changes Direction,11/28/2007,33.6305556,-112.3325,1.5
Blairstown,NJ,Triangle,300,While On My Way To Go To Bed I Looked Out My Window And Saw A Triangle Shaped Craft. Now It Had Lights On Its 3 Ends Which Showed The,11/28/2007,40.9827778,-74.9608333,300
Barstow,CA,Other,10,Blue Beam Project Known Seen From The High Desert In Ca.,9/30/2013,34.8986111,-117.0219444,10
Austin,TX,Sphere,1,Black Sphere With Glowing Ring Around It.  ((Nuforc Note:  Student Report.  Pd)),10/31/2008,30.2669444,-97.7427778,1
Valparaiso,IN,Formation,5,Three Brownish-Orange Craft,10/31/2008,41.4730556,-87.0611111,5
Hemet,CA,Formation,600,Three Poeple Seen 25 To 50 Star-Like Flying Objects,10/31/2008,33.7475,-116.9711111,600
Falls Church,VA,Egg,600,Huge Changing Light In The Sky Not There Any Day Afterward,1/10/2009,38.8822222,-77.1713889,600
Vallejo,CA,Sphere,12,Sunning In Backyard Small Round Object Gray And Transluscent Incredible Speed 10 To 12 Seconds.,10/31/2008,38.1041667,-122.2555556,12
Narberth,PA,Light,20,Meteor Like Object Followed By Two Black Helicopters 15 Minutes Later On October 14Th 2008.,10/31/2008,40.0083333,-75.2608333,20
Boonville,NY,Formation,180,5-6 Red Globes Hovering Then Just Disappeared,10/31/2008,43.4836111,-75.3369444,180
Anderson,SC,Chevron,75,Chevron Shaped Ufo Seen Over I-85 In Anderson Sc.,10/31/2008,34.5033333,-82.6502778,75
Louisville,KY,Disk,120,Fast Moving Object With Flashing Red Light Near Louisville Kentucky.,10/31/2008,38.2541667,-85.7594444,120
Manteca,CA,Circle,300,~10:35 Pm Central Valley California. 10/14/08 Looking North,10/31/2008,37.7975,-121.215,300
Fresno,CA,Other,60,Fresno Sighting,12/12/2009,36.7477778,-119.7713889,60
Honolulu,HI,Circle,300,Unusually Bright Very Colorful; Pulsating Light In The Sky,12/12/2009,21.3069444,-157.8583333,300
Concord,CA,Changing,600,Amorphous Black Object Stationary In The Sky...  9 Witnesses. Daytime Sighting...,12/12/2009,37.9780556,-122.03,600
Avoca,MI,Formation,240,Seen A 3 Light Formation Blinking In The Sky Until It Slowly Moved Off And Vanished,12/12/2009,43.0619444,-82.6911111,240
Syracuse,NY,Cross,180,Ufo Over Carousel Center In Syracuse Ny  10/14/2009,12/12/2009,43.0480556,-76.1477778,180
Reno,NV,Light,20,Brite Light Seen Over Renonv. This Is The 2Nd Time I Have Seen This Light And Its Not A Shooting Star.,12/12/2009,39.5297222,-119.8127778,20
New York City,NY,Oval,1080,Unknown Object Over The Empire State Building,12/12/2009,40.7141667,-74.0063889,1080
Creswell,OR,Fireball,45,Light Blue Colored Light Moves  And Zig Zags In The Sky Then Disapears In  Creswell Oregon.,12/12/2009,43.9180556,-123.0233333,45
The Colony,TX,Light,3,High Altitude Fast Bright Light,11/21/2010,33.0888889,-96.8861111,3
Imperial,MO,Formation,1200,Cluster Of Lights In Wheel Shape With Center Hub Light Largest.,11/21/2010,38.3697222,-90.3783333,1200
Foley,AL,Cylinder,30,Triangular/Cyinder Object With 2 Headlights Like A Car In The Sky Sitting Completely Still And Had No Sound,11/21/2010,30.4063889,-87.6836111,30
Mitchell,SD,Light,120,Dark Object With Lights Around- Went West And Turned 90 Degrees And Shot North.,11/21/2010,43.7094444,-98.0294444,120
Ripon,CA,Triangle,480,Object Observed Over Orchard North Of Ripon Ca.,11/21/2010,37.7416667,-121.1233333,480
Livermore,CA,Light,90,I Observed A Bright Object In The Sky Traveling Erratically.  90 Seconds,11/21/2010,37.6819444,-121.7669444,90
Blackjack (North St. Louis Co.),MO,Light,60,I Saw Orbs Of Light In Daylight Sky And They Were Moving In A Fluid Circular Motion And Appearing And Disappearing,10/19/2011,37.8722222,-93.7916667,60
Ringgold,GA,Unknown,1200,Fast Moving White Light With A Smaller Red Light In The Rear Very High In The Sky.,10/19/2011,34.9158333,-85.1091667,1200
Oldsmar,FL,Triangle,1500,Strange Aircraft Appearing Flying And Hoovering In The Skythen Zipping Away In A Flash At Great Speeds..,10/19/2011,28.0338889,-82.6652778,1500
Carterville,MO,Other,1800,Follow Up To A Report I Just Submitted,10/19/2011,37.1491667,-94.4427778,1800
Carterville,MO,Other,1800,Strange Object Seen Moving Slowly Between Carterville And Carthage Missouri,10/19/2011,37.1491667,-94.4427778,1800
Whitakers,NC,Triangle,240,Triange Ufo With Red Lights,10/19/2011,36.1052778,-77.7130556,240
Scottsdale,AZ,Triangle,240,Objects In The Skies Of Scottsdale.,10/19/2011,33.5091667,-111.8983333,240
Elmer,NJ,Triangle,1200,It Was Hovering For About 10 Minutes Then It Lifted Straight Up. Then Started Flying With Green And Red Flashing Lights In A Weird Fo,10/19/2011,39.595,-75.1705556,1200
Honolulu,HI,Triangle,120,Two Silver Triangular Craft Performing Extreme Nautical Maneuvers In Unison High In The Air In A Blue Cloudless Sky.,10/19/2011,21.3069444,-157.8583333,120
Coral Springs,FL,Other,120,Stingray Kind Of Ufo Over Coral Springs Fl.,12/12/2011,26.2708333,-80.2708333,120
San Bernardino,CA,Sphere,60,Sphere Moving Westward Through The San Bernardino Valley At A High Rate Of Speed Then It Slowed Drastically And Hovered.,10/19/2011,34.1083333,-117.2888889,60
Sierra Vista,AZ,Other,600,Daytime Transparent U.f.o. With One Light On End Of Craft.,12/12/2011,31.5544444,-110.3030556,600
Ocala,FL,Cylinder,240,Metallic Cylinder Seen Over North Florida,10/19/2011,29.1869444,-82.1402778,240
El Paso,TX,Circle,37800,Silver Orb Floating Over Far Westside Of El Paso For Over An Hour,10/25/2011,31.7586111,-106.4863889,37800
Strawberry,AZ,Flash,1.5,White Flash Appears In Geosynchronous Orbit Lasting For 1.5 Seconds.,12/12/2011,34.4077778,-111.4927778,1.5
Ellisville,MS,Unknown,900,On Oct 14Th 2011 At 7:30 Pm Me And My Wife Noticed An Unusual Orange Pulsating Light In The Sky.,10/19/2011,31.6038889,-89.1955556,900
Golden Valley,AZ,Oval,3,I Saw A Cluster Of Lights Glowing Together With A Trail Moving South To North High Rate Of Speed,10/19/2011,35.2233333,-114.2222222,3
Golden Valley,AZ,Oval,4,A Cluster Of Bright Lights Shot Across The Sky At High Rate Of Speed,10/19/2011,35.2233333,-114.2222222,4
Wendover (East Of On I-80),UT,Changing,1020,Black Object In Sky Over Lakeside Military Area In Utah.,10/19/2011,40.7372222,-114.0366667,1020
Eufaula,AL,Light,25,A Large Extremely Bright Silent White Light Moved On Straight Track From Due South Horizon To North And Changed To A Red Dot Then Disap,10/25/2011,31.8911111,-85.1455556,25
Holbrook,AZ,Other,0.1,This Fast Moving Craft Was Low Flying And Not A Sound And No Lights Detail Drawings Of The Underside Are Avaliable,12/12/2011,34.9022222,-110.1575,0.1
Tempe,AZ,Sphere,300,Dark Yellow Orangish Ball,10/19/2011,33.4147222,-111.9086111,300
York,PA,Triangle,2,Triangle Shape Large Round Lights Entire Bottom Of Craft With A Light Green Haze.it Just Appeared And Then Dropped Behind Trees.,10/19/2011,39.9625,-76.7280556,2
Cibecue (West Of),AZ,Light,300,Bright Yellow Light Moving Slowly Thru Skies Of Eastern Arizona,10/25/2011,34.0447222,-110.4847222,300
Modesto,CA,Diamond,120,Bright Red Diamond Shaped Object And Fog Ball Object,10/30/2012,37.6391667,-120.9958333,120
Fort Worth,TX,Circle,60,Me And Some Friends Were In Northside In Fort Worth Tx  Going Home When We Seen What Look Liked 2 Fireballs Coming Down Fast  We All,10/30/2012,32.7252778,-97.3205556,60
Centralia,WA,Egg,900,Photo Of An Orange Egg Shaped Light Moving In A Constant Deliberate Manner On A South To North Course Near Centralia Washington.,10/30/2012,46.7163889,-122.9530556,900
Sierra Madre,CA,Formation,180,Cluster Sighting Of Ufo North Of Sierra Madre Ca Over The San Gabriel Mountains.,10/30/2012,34.1616667,-118.0519444,180
Raleigh,NC,Cylinder,60,A Black Cylindrical Object Seen Fairly Close To An Airplane During Daytime,10/30/2012,35.7719444,-78.6388889,60
Santa Barbara,CA,Light,900,My Girlfriend And I Were At The East Beach In Santa Barbara Adjacent To Cabrillo Beach House And Grill. We Were Both Lying Face-Up And,10/30/2012,34.4208333,-119.6972222,900
Loveland,CO,Triangle,30,Classic Five Lighted Triangle Shaped Ufo Sighting,10/30/2012,40.3977778,-105.0744444,30
Easton,PA,Fireball,1800,Fireballs 20-30 Minutes Reddish Orange Eastern Pa Northampton County Two Witnesses.,10/30/2012,40.6883333,-75.2211111,1800
El Centro,CA,Circle,1800,Strange Lights Over El Centro Ca That Do Not Move,10/30/2012,32.7919444,-115.5622222,1800
Newburgh,IN,Unknown,300,Large Orange Light Newburgh In 10/14/12,10/30/2012,37.9444444,-87.4052778,300
Elmore City,OK,Unknown,600,Several Multi-Colored Lights Seen Hovering Over Elmore City/Pauls Valley Area. Sometimes A White One Shows Up As Well.,10/30/2012,34.6227778,-97.3961111,600
Canyon Lake,CA,Unknown,600,3 Unknown Objects W Nw Of Canyon Lake Ca,10/30/2012,33.685,-117.2722222,600
Lakewood,NJ,Light,180,Bright White Light Moving Fast Toward Trees,10/30/2012,40.0977778,-74.2180556,180
Toms River,NJ,Circle,10,Bright Light Coming Down At 45 Degree Angle Northeast Of Toms River Nj 10/14 @ 9:45 Pm,10/30/2012,39.9536111,-74.1983333,10
Lake Wales,FL,Changing,2100,Red Whie And Blue Flashing Lights,10/30/2012,27.9011111,-81.5861111,2100
Lake Wales,FL,Changing,2100,Discovered What I Thought Was A Ufo Was Actually The Star Sierius. It Refracts Colors Thru Our Atmosphere While Low In The Sky Then Bec,10/30/2012,27.9011111,-81.5861111,2100
Nanuet,NY,Light,1.5,I Never Saw Anything Like It In  My Life.  It Was No Shooting Star.,10/30/2012,41.0886111,-74.0138889,1.5
Charleston,SC,Triangle,20,Black Triangle White Lights Three Night Clear Many Stars Slow Afraid,10/30/2012,32.7763889,-79.9311111,20
Forked River,NJ,Circle,60,Red/Gold Fireball Haze Around It  Stayed Same Size Moving Same Speed Much Bigger Then Any Star No Meteor For Sure.,10/14/2013,39.8397222,-74.1905556,60
Albuquerque,NM,Flash,2700,3 Flashing Green Lights In Formatiom Of A Triangle To Big To.be Stars,10/14/2013,35.0844444,-106.6505556,2700
Hampton,NH,Cylinder,60,White Cylinder With Red Light At Back. Didnt Have Wings.  Moving Silently Very Fast Towards The Southwest Then Disappeared,10/14/2013,42.9375,-70.8394444,60
Buckingham,PA,Rectangle,600,Rectangular Floating Object 4X The Size Of A Hot Air Balloon But At About The Same Height As Hot Air Balloon Travels. Grayish.,10/23/2013,40.3236111,-75.0602778,600
Charlotte,NC,Sphere,240,White Object Slowed To A Stop.  Remained Motionless About A Minute And Disappeared.,10/23/2013,35.2269444,-80.8433333,240
Vernon Hills,IL,Cigar,240,Silent Tube-Like Crafts-Objects Like Nothing I Have Ever Seen Anywhere,10/23/2013,42.2194444,-87.9794444,240
Seaside,OR,Light,900,Bright White Light In The Dusk Sky Over Ocean.,10/23/2013,45.9933333,-123.9213889,900
Oakland,CA,Light,300,Intense Stationary Bright Light In Sf Bay Area Sky.,10/23/2013,37.8044444,-122.2697222,300
Green Bay,WI,Light,180,Silent Light Ufo Spotted And Rose Into The Clouds.,10/23/2013,44.5191667,-88.0197222,180
Ruston,LA,Sphere,900,Reddish/Orange Balls Of Light Over Ruston.,10/23/2013,32.5230556,-92.6377778,900
Leland,MI,Disk,120,9 Sphere Shaped Objects ; Orange Red In Color,10/23/2013,45.0230556,-85.7597222,120
Holgate,NJ,Circle,300,My Selfdaughter And Son Were On The Beach Fishing.it Was Cloudy Some Moonlight Some Cloud Covermind You I Am Not A Believer Before Th,11/11/2013,39.54,-74.2572222,300
Kalamazoo,MI,Circle,300,Red Circle Over Kalamazoo.,10/23/2013,42.2916667,-85.5872222,300
Point Arena,CA,Triangle,900,2 Very Different Incidences A Week Apart Triangler (Tonight) And Very Bright Far Away Organish Glow.(10/9/2013),10/23/2013,38.9088889,-123.6919444,900
Warren,OH,Circle,45,I Seen An Bright Orange Round Star Ship 10 Times The Size Of A Bright Star  For Aprox 45 Sec And Then It Blinked Out .,10/23/2013,41.2375,-80.8186111,45
Eklutna,AK,Cigar,180,Two Men Approached By A Cigar-Shaped Object In The Night Sky.,2/18/2001,61.4580556,-149.3622222,180
Owensboro,KY,Rectangle,1800,Low-Flying Silver Object Seen On A Clear Day Near Mid-Day.,4/18/2012,37.7741667,-87.1133333,1800
Baltimore,MD,Cigar,180,It Was Around 8:Pm And I Was Walking Homeit Was A Full Moon But Something Made Me Lookup There Was No Noise But An Object Came In Fr,3/4/2008,39.2902778,-76.6125,180
Richland,WA,Circle,5,Night Sighting Of Seven Large Luminous Ufos Flying In V Formation,11/21/2010,46.2858333,-119.2833333,5
Mauriceville,TX,Disk,300,My Father Was A Www1 Vet. And Loved Hunting. The Year Was Round 1953.We Lived In A Town Of 300 People In Southeast Tex. Dad Would Take,11/4/2002,30.2033333,-93.8661111,300
Blanco,TX,Other,300,We Saw A Silver Football Motionless In The Sky; Stopped  Looked About 3-5 Mins. And Resumed The Trip.,4/27/2004,30.0977778,-98.4211111,300
Manistee,MI,Circle,8,Saucer Shaped Moved North To South Directly Above The Street No Sound Moon Was To The East,1/21/2008,44.2444444,-86.3241667,8
Rhinebeck,NY,Light,2400,This Very Distant Star-Like Point Of Light Came Very Slowly Up Over The Treeline From The Southwest Stopped.,7/19/2010,41.9266667,-73.9130556,2400
New York City (Queens),NY,,10800,Tall Unidentified Being Enters Home - N.y.c. 1957,3/21/2003,40.7141667,-74.0063889,10800
Houston (Ellington Afb),TX,Light,3,5 To 6 Diameter Light Extremely Fast Silent Made An Impossible Inside 45 Degree Turn And Sped Away Horizontally.,9/17/2000,29.7630556,-95.3630556,3
Commerce City (N. Of Denver),CO,Fireball,600,A Lot Of Methane Gas In Area,9/19/2002,39.8083333,-104.9333333,600
Marysville,WA,Other,75,Ufo  Over  Golf Course,4/27/2007,48.0519444,-122.1758333,75
Indialantic,FL,Oval,120,Unbelievably Close To The Ground Surface.,10/30/2012,28.0891667,-80.5658333,120
Chicago,IL,Other,10,Sitting In Avalon Park On A Fall Night At App.1030 Pm I Saw A Metalic Object Traveling From E To W I Didnt Give It Much Thought But It,8/5/2001,41.85,-87.65,10
Columbus,OH,Cigar,600,Child Remembers Seeing Object Over 40 Years,11/3/2005,39.9611111,-82.9988889,600
New Rochelle,NY,Sphere,2,Knew They Came And Went All Stoped  Talked To My Brain Or?  ((Nuforc Note:  Report From Retiree.  Pd)),1/31/2011,40.9113889,-73.7827778,2
Tabor,IA,Oval,2700,Craft Hovers Noiselessly Over Witnesses In 1965 In Southwest Iowa Is Photographed By 2 Photographers Photos Stolen Later.,9/29/2004,40.8983333,-95.6711111,2700
Boca Raton (Military Trail),FL,Circle,21600,Saw Bright Lite.drove Closerstopped When Next To It.500 Yards.got Out Of Car Walked Toward Light.next Thing 5 Hours Latter,7/5/1999,26.3583333,-80.0833333,21600
Martinsville,IN,Disk,60,Craft Hovered About 20 Feet Above Barn. Lights In Horizontal Orientation For About 30 Seconds And Then Darted Away. Others Saw.,3/21/2003,39.4277778,-86.4283333,60
Running  Springs,CA,Disk,1200,Around 7 Pm On A Tues In Oct 1966 On My Way Home From Work   While Driving Up The Rim Of The World High Way Or Highway 18 From Skyfores,12/20/2000,34.2077778,-117.1083333,1200
Ukiah,OR,Oval,1200,Orange Oval 40 Ft In Diameter Twenty Ft Off The Ground Appoxumate 100 Ft From Me.,11/11/2013,45.1341667,-118.9313889,1200
Utica,NY,Triangle,180,I And A Friend Were Coming Home One Cold Fall Evening Outside Of Hugh R. Jones Elem. School . There Was A Triangle Of A Red Green Whi,4/22/2003,43.1008333,-75.2330556,180
Birmingham,AL,Oval,300,Description Of A Spaceship Spotted Over Birmingham Alabama In 1967.,7/5/2008,33.5205556,-86.8025,300
Hampstead,NC,Disk,300,Hampstead North Carolina Disk 1967,12/20/2012,34.3675,-77.7108333,300
North Hollywood,CA,Fireball,900,A Fireball Over The San Fernando Valley In 1967,12/19/2003,34.1722222,-118.3780556,900
Saugus,CA,Light,180,Oct. 1967 Late Night I Was A High School Student Living In The Boring Town Of Saugus California The Nearest Town Was Newhaul And Th,3/19/2009,34.4113889,-118.5391667,180
Hastings,MN,Triangle,120,Perfect Semi Circle Vapor Trail Left As Soundless Ufo Makes A Turn-Around Overhead.,12/2/2000,44.7433333,-92.8522222,120
Crystal Lake,IL,Cigar,1800,Cigar Shaped Vehicle Hovering Over Farm Field.,5/12/2010,42.2411111,-88.3161111,1800
Bancroft (Rural Area Near),WI,Light,120,Two Non-Blinking White Lights Perform A High Speed 75-Degree Ascent.,2/18/2001,44.3097222,-89.5136111,120
Sharon,CT,Oval,120,No Noise No Air Movement No Heatlights Underside Hovered,11/21/2010,41.8791667,-73.4772222,120
Pearl,MS,Cigar,1200,Long Overdue Report Of Ufo Witnessed At A Close Range--Years Ago,1/17/2004,32.2744444,-90.1319444,1200
Wilmington,DE,Circle,60,Moon Sized Object Grew To Fill Entire Sky Then Disappeared,1/5/2011,39.7458333,-75.5469444,60
Hurst,TX,Disk,60,The Light That Came As I Called It,9/6/2002,32.8233333,-97.1702778,60
Miami,FL,Changing,120,October 1969 Ufo Sighting By Entire Family,5/2/2011,25.7738889,-80.1938889,120
Exeter (Near),NH,Cigar,1800,I Was Returning From The First Vietnam Moratorium (That Is How I Fix The Date Accurately) In Boston With Some Friends In An Old Vw Bus.,5/4/2004,42.9813889,-70.9483333,1800
Alpine,AZ,Disk,300,Fall Clear Full Visual Disc Sighting Unbelievable Air Manuevers Speed  Brightness.,4/27/2004,33.8480556,-109.1425,300
Westland,MI,Unknown,20,Early 1970S Object Going Around The Sun.,8/16/2002,42.3241667,-83.4002778,20
Bremerton,WA,Disk,600,I Was Walking Into My Home One Day At Dusk And As I Looked Up Saw These Strange Objects In The Sky. I Ran In And Got My Camera And Took,10/12/2001,47.5675,-122.6313889,600
Litchfield,CT,Circle,360,Mothership Over Litchfield Ct,3/21/2003,41.7472222,-73.1891667,360
Tinley Park,IL,Disk,900,Saw A Disc Shaped Craft With 3 Lights,11/1/1998,41.5733333,-87.7844444,900
Lago Vista (Near Austin),TX,Formation,1800,Went Outside  In Night Sky Looking East{Est.} Saw 15 To 25 Objects Looked Like Stars Appeared Same Distance As Stars But Brighter Tha,2/16/1999,30.46,-97.9880556,1800
Spokane,WA,Circle,900,We Dont Have Craft That Can Fly This Fast And Make Right Turns At Several Thousand Miles Per Hour,10/31/2008,47.6588889,-117.425,900
Collierville,TN,Disk,300,Group Of About 20 Sees Ufo On Clear Day For About 5 Minutes In 1973 In Sw Tenn.,5/15/2006,35.0419444,-89.6644444,300
Chazy,NY,Light,300,Exact Location: 44 Deg 52 33.74 North 73 Deg 28 52.99 Thanks To Gps And Google Earth (Didnt Have Either Back Then). Macadam Road,7/16/2006,44.8897222,-73.4363889,300
Englewood,TN,Disk,120,They Talked To Me As A Child.,3/21/2003,35.4244444,-84.4875,120
Houston,TX,Circle,2700,Ufo Hovers Over Houston Tx Fall 1973.,9/24/2012,29.7630556,-95.3630556,2700
Millington,TN,Disk,1800,3 Saucer Shaped Ufos Over Naval Air Station.  F-4 Phantom Scrambled.,11/11/2013,35.3413889,-89.8972222,1800
Memphis,TN,Cigar,1200,Cigar In Memphis 1974.,12/2/2000,35.1494444,-90.0488889,1200
Bath,OH,Oval,2700,Strange Animal Sounds And What Appeared To Be A Plane Crashing Before Seeing Huge Craft Hovering Over Tree Across From Our Home. It,2/14/2006,41.1888889,-81.6363889,2700
San Francisco (South Of),CA,Light,180,A Pulsing Light That Ascended At 90 Degrees,4/16/2005,37.775,-122.4183333,180
La Junta,CO,Other,20,We Saw A Glowing Green Pencil Shaped Object Going From South To North.  It Moved Out From Behind One Hill Only To Disappear Behind Anot,2/12/2004,37.985,-103.5433333,20
Rockville,MD,Disk,7200,Floating Abduction Out Of Bed Into A Silver Saucer; Us Military Human Beings On Board Some Kind Of Head Surgery Performed.,8/5/2012,39.0838889,-77.1530556,7200
Rockville,MD,Disk,7200,Abduction Middle Of Night Encounter Human Atired In Us Military Uniforms (Airforce) Experience Some Type Of Brain Surgery,12/2/2000,39.0838889,-77.1530556,7200
Killeen,TX,Changing,240,Odd Occurance Over Ft. Hood Texas,10/27/2004,31.1169444,-97.7275,240
Batesville,MS,Sphere,600,Shiny Silver Sphere Seen For About 10 Minutes In Rural North Mississippi Circa 1975,6/12/2008,34.3113889,-89.9441667,600
Marianna,FL,Disk,300,Flying Disk Seen In Fl Panhandle,9/24/2003,30.7741667,-85.2269444,300
Marion,KS,Light,2,We Saw A Green Object Zoom Across The Sky Going At Least Several Thousand Mile Per Hour.,8/12/2008,38.3483333,-97.0169444,2
Nesconset,NY,Disk,180,Large Quiet Craft  Moving At A Very Low Altitude Heading East Over Suffolk County New York.,2/14/2008,40.8519444,-73.1544444,180
Williston,ND,Disk,300,Missing Time,12/16/2005,48.1333333,-103.6333333,300
Monroe,NY,Disk,60,Flying Saucer Lifts Off From Field Without A Sound Or Trace.,10/10/2011,41.3305556,-74.1872222,60
Swannanoa,NC,Other,900,Mother And Children Witness Dome-Shaped Object With Lights Ascending From The Ground And Hovering Overhead,8/5/2001,35.5977778,-82.4,900
Ryegate (South Of),MT,Circle,3600,10/15/75. Round Shape Extremely Bright White Light Took Off (Up) When I Told It To Come Get Me.,10/31/2003,46.2972222,-109.2580556,3600
Collinsville,AL,Triangle,900,It Was Like Something Out Of Star Wars,7/16/2003,34.2638889,-85.8605556,900
Mineral King,CA,Disk,28800,Two People View Ufo  In Mineral King National Park  California . Investigation By Air Traffic Controller .,2/1/2007,36.4508333,-118.5938889,28800
Rochester,NY,Unknown,10,Flashing Red Light Appeared A Foot Above My Car Then Sped Away At Incredible Speed.,8/28/2003,43.1547222,-77.6158333,10
Eveleth,MN,Light,900,Lights Above Eveleth Mn In Mid 70S,3/21/2003,47.4625,-92.5397222,900
Almena,WI,Unknown,14400,Electrical Failure Of My Reliable Vehicle And Some Missing Time.,10/31/2003,45.4169444,-92.0327778,14400
Biloxi,MS,Triangle,60,Silent Black Triangular Object Flying At Low Level Near Kessler Afb.,3/19/2009,30.3958333,-88.8852778,60
Orlando,FL,Disk,60,We Were Camping In A Friends  Yard   Fairly Dark Night As I Recall . We Saw 5 Disk Shapes Flying In A V Formation  The Had A Greenish W,11/3/2005,28.5380556,-81.3794444,60
Kennewick,WA,Light,300,Huge Circular Orbs Of Flaming Red Light Flew Above The River Right In Front Of Me One Night While I Was Camping.,12/2/2000,46.2113889,-119.1361111,300
Des Plaines,IL,Disk,30,Sighting In Illinois,10/20/2005,42.0333333,-87.8833333,30
Coeur Dalene,ID,Oval,10,Object Raised Vertically From Lake And Zips Off Horizontally Like A Lightning Bolt.,2/14/2008,47.6777778,-116.7794444,10
Cherokee,NC,Light,120,Unknown White Orb Followed By Approxmately 4 Known Objects,10/28/2002,35.4741667,-83.315,120
Candia,NH,Oval,1200,Very Large Object Seen In Mid October 1978,6/12/2007,43.0777778,-71.2772222,1200
Greenwich,CT,Circle,900,((Hoax??))  Had No Control On Tv. Ash Tray Killd Itself. The Obkect Was One Big Light.,12/12/2009,41.0263889,-73.6288889,900
Ellwood City,PA,Unknown,900,What Ever It Was It Knew I Was Their,6/12/2007,40.8616667,-80.2866667,900
Bemidji,MN,Unknown,1500,Ufo Drone Watching A Football Game.,12/20/2012,47.4736111,-94.88,1500
Gig Harbor,WA,Circle,600,Gig Harbor Visitors And Subsequent Regression,2/18/2011,47.3294444,-122.5788889,600
Columbus,OH,Fireball,900,12-15 White Fireballs Traveling North To South Ashing Off As They Flew By The Episode Lasted 10-15 Minutes Over Rural Columbus Oh.,1/22/2004,39.9611111,-82.9988889,900
Guntersville,AL,Triangle,10,The Date And Time Is Not Exact.  I Was The Shift Supervisor At A Chemical Plant Located On The Banks Of The Tennessee River.  Mountains,8/27/2009,34.3580556,-86.2947222,10
Avon,CT,Disk,60,A Huge Lit-Up Craft Various Colors Of Lights At Tree Top Level Traveling At A Very Slow Speed (10 Mph) Over Our Heads .,3/21/2003,41.8097222,-72.8311111,60
Denham Springs,LA,Rectangle,360,Flying Object Observed,9/24/2012,30.4866667,-90.9561111,360
Boonville,CA,Sphere,300,Digital Rendering Of Sighting Linked To 10/1980 Boonville Ca. 10/1980: Just After Dark Two Orange Glowing Spheres 200 Feet From Gro,9/2/2005,39.0091667,-123.365,300
Jonesport,ME,Oval,300,Green Gas Sorta Cloud Very Slow South To Movement Started From Horison Not Much To Say About It But It Was Witness At The Same Time By,9/13/2002,44.5327778,-67.5988889,300
Boonville,CA,Sphere,300,Boonville Ca.  10/1980:  Just After Dark Two Orange Glowing Spheres 200 Feet From Ground  15 Ft Diam. 40 Ft Apart 10 Mph,2/18/2001,39.0091667,-123.365,300
Beaverton,OR,Cigar,10,Daytime Sighting Long Black No Features Like A Pencil No Sound. No Lights.,10/28/2002,45.4872222,-122.8025,10
San Jose,CA,Disk,420,Town And Country Shopping Center Dic Shaped Craft At About 20Feet Above The Ground...Around 4:30Pm On A Sunday.,2/14/2008,37.3394444,-121.8938889,420
Van Nuys,CA,Disk,1200,The Space Craft Was Flying At A 45 Degree Angle Approximatly A Mile High Running Parallel To Van Nuy Blvd On A Clear Day.,6/23/1999,34.1866667,-118.4480556,1200
Lake City,FL,Unknown,900,Light Beamed Over Top And Front Of Car,7/16/2003,30.1894444,-82.6394444,900
Smithfield,RI,Circle,60,Lights Were Flashing And I Thought To Myself  There Are No Towers Here.,11/3/2005,41.9219444,-71.55,60
Barton,VT,Rectangle,1200,Observed Very Large Lighted Object Moving And Then  Hovering  Above A Hay  Field.,9/9/2003,44.7480556,-72.1766667,1200
North Hudson,NY,Disk,120,Full View Of Structure,1/17/2004,43.9525,-73.7288889,120
Hampton,VA,Chevron,9000,Black Boomerang Shaped Larg Eno Soundnolightstree Top Level,4/27/2004,37.0297222,-76.3455556,9000
Omaha,NE,Disk,120,The Saucer Was Flying High With No Sound And Several Lights. It Passed Overhead.,12/2/2000,41.2586111,-95.9375,120
California Valley,CA,Disk,600,Sighting Hynek Class Ce_ii California Valley Oct 83,4/18/2012,35.32,-120.0058333,600
New Castle,DE,Other,300,Oct 1984 At 8:15 Am Small Translucent Half Dome Shaped Object,8/7/2011,39.6619444,-75.5666667,300
Quincy,CA,Unknown,60,Object That Was Observered In Daylight Appeared Silver Color And Had No Wings And In  A Few Seconds Disapeared.,1/17/2004,39.9369444,-120.9461111,60
Skowhegan,ME,Disk,600,I Was Working At A Church Cleaning The Parking Lot In The Evening Approx 7 Pm. I Looked Up Towards The Sky And I Could See And Object C,11/16/2002,44.765,-69.7197222,600
Albuquerque,NM,Disk,2700,Disc Close Enough To Almost Touch No Sound Or Air No Feet Or Legs Cloaked Until About 6 From It,4/12/2013,35.0844444,-106.6505556,2700
